simulation_id,timestamp,execution_time,num_obstacles,goal_reached,goal_reach_time,position_check_success_rate,min_distance_achieved,avg_distance,close_calls_5cm,safety_violations_2cm,total_distance_traveled,path_efficiency_ratio,total_curvature,trajectory_smoothness,max_curvature,overall_max_velocity,overall_avg_velocity,target_distance_from_base,execution_efficiency,danger_zone_percentage,warning_zone_percentage,safety_score,collision_count,absolute_min_distance,had_collision
1,2025-09-26T11:21:06.366640,20.0,4,True,2.233929395675659,1.0,0.06251952429922564,0.06353379722491681,0,0,0.15229264100743414,1.004114146530464,338121.12798842875,847.4213734045833,15333.126099074068,0.6749954302331571,0.009736349104574103,0.8762229907327751,0.11169646978378296,100.0,100.0,0,0,0.06251952429922564,False
2,2025-09-26T11:21:47.731576,20.0,3,True,1.6153061389923096,1.0,0.09632666255387647,0.09817001476174163,0,0,0.09067639802118403,1.0075125251659593,25547.202872338963,64.02807737428313,1233.2933796720322,0.22506986587592995,0.0036242652117469813,0.6792034883223629,0.08076530694961548,100.0,95.26184538653366,0,0,0.09632666255387647,False
3,2025-09-26T11:22:28.493418,20.0,4,True,2.0168590545654297,1.0,0.16063419184358108,0.23034888678693546,0,0,0.13128486593578537,1.0003772526010815,1429.1195767470874,3.5817533251806704,182.51134508731315,0.2964525490413689,0.006084835032362153,0.9706712480387004,0.10084295272827148,100.0,0.0,0,0,0.16063419184358108,False
4,2025-09-26T11:23:09.542794,20.0,3,True,1.8392395973205566,1.0,0.10800766906127653,0.10937880337301621,0,0,0.10955133250757373,1.0002026572843932,10018.803529983627,25.109783283166976,705.3683346083664,0.2718788870206516,0.004672760175882244,0.6731350692060729,0.09196197986602783,100.0,0.0,0,0,0.10800766906127653,False
5,2025-09-26T11:23:50.125892,20.0,4,True,1.8473608493804932,1.0,0.10552261791631969,0.10654332322838395,0,0,0.11601563594782723,1.0000617051686782,1541.007854166089,3.862175073097968,177.73019083868195,0.34488961680399505,0.004595963944176511,0.8925236721629164,0.09236804246902466,100.0,0.0,0,0,0.10552261791631969,False
6,2025-09-26T11:25:04.165206,20.0,6,True,1.992218017578125,1.0,0.003469034042894048,0.09109417045361234,9,3,0.33588418264207553,1.613568499362567,9900.35989447565,24.812932066355014,323.0986867389782,3.0083628038257455,0.027860090240511223,0.836716255671456,0.09961090087890626,100.0,100.0,0,3,0.003469034042894048,True
7,2025-09-26T11:25:46.874089,20.0,6,True,1.952824354171753,1.0,0.02633141673453302,0.04660983550233264,401,0,0.26713099666428586,1.2352074642082986,16321.108774593402,40.90503452279051,1508.8470781041526,1.1337816266670573,0.02774625334097882,0.5767990128170979,0.09764121770858765,100.0,100.0,0,0,0.02633141673453302,False
8,2025-09-26T11:26:29.284846,20.0,3,False,,1.0,0.06149126076154104,0.0636406394555176,0,0,0.030506634717152852,2.0411672757333545,980093.7295418889,2456.3752620097475,937102.4757512946,0.4993989817411888,0.010248635564977859,0.48216247357587927,,100.0,100.0,0,0,0.06149126076154104,False
9,2025-09-26T11:27:28.252763,20.0,5,False,,1.0,0.0013866273620935438,0.03487586025128834,356,35,3.996762438979021,47.058457945626735,46744.368974234705,117.15380695296926,3819.8265316690236,2.899667876073273,0.32068053988178813,0.9849093709914652,,100.0,100.0,0,8,0.0013866273620935438,True
10,2025-09-26T11:28:08.895965,20.0,5,True,1.7257535457611084,1.0,0.15389536691748965,0.1542218881923302,0,0,0.09568143122388738,1.0000180613066942,2897.940647998481,7.263009142853335,237.46678293750927,0.30159775054326493,0.003823770499049199,0.7579145445466677,0.08628767728805542,100.0,0.0,0,0,0.15389536691748965,False
11,2025-09-26T11:28:50.808048,20.0,3,True,1.808671474456787,1.0,0.21264173990973795,0.22356492800735803,0,0,0.09990494839276226,1.0005368785411026,1256.9742748631484,3.150311465822427,51.631927250210886,0.2848172168808384,0.004207933832151565,0.8029077345141642,0.09043357372283936,100.0,0.0,0,0,0.21264173990973795,False
12,2025-09-26T11:29:31.937165,20.0,6,True,2.5272812843322754,1.0,0.0428734140749184,0.07508586813917187,13,0,0.3465028303333628,1.0506017049813778,110035.02694553447,275.7770098885576,8779.118644946777,1.1394491787490089,0.04077299430211654,0.5742178909888872,0.12636406421661378,100.0,100.0,0,0,0.0428734140749184,False
13,2025-09-26T11:30:14.529685,20.0,4,True,1.8091402053833008,1.0,0.16011973208767444,0.20637690720950036,0,0,0.10466252921958145,1.0001948472960451,100.77383119514737,0.2525659929702942,7.101544350632512,0.22962465477181151,0.004632737653253572,0.8528096547612871,0.09045701026916504,100.0,0.0,0,0,0.16011973208767444,False
14,2025-09-26T11:30:58.658410,20.0,4,True,1.9043872356414795,1.0,0.17769766651705782,0.1779144706834778,0,0,0.11893948105924086,1.0002496814693562,3323.6711827156632,8.33000296419965,180.33301944849745,0.23008851065680624,0.005268028484081003,0.7722017754760214,0.09521936178207398,100.0,0.0,0,0,0.17769766651705782,False
15,2025-09-26T11:31:40.149312,20.0,3,True,1.2808582782745361,1.0,0.11029154504878201,0.11058027808565404,0,0,0.06089803149275873,1.000861142503675,66160.73421774934,165.8163764855873,14604.13421992153,0.22869351506438998,0.006886430086706148,0.7050632402407406,0.06404291391372681,100.0,0.0,0,0,0.11029154504878201,False
16,2025-09-26T11:32:21.385347,20.0,5,True,1.7922017574310303,1.0,0.03085633035321429,0.0687520646093769,12,0,0.13313667152796121,1.077721843001693,102465.45315233679,256.8056469983379,4947.222536114982,0.7280466568575703,0.022912709882313042,0.6113960321451709,0.08961008787155152,100.0,100.0,0,0,0.03085633035321429,False
17,2025-09-26T11:33:04.687046,20.0,6,True,4.872337102890015,1.0,0.0,0.02392872726148235,376,194,4.61369937758146,11.876955634988354,39244.81804436245,98.35793996080805,1653.9108982475427,2.8746157532772934,0.33619587839607934,0.8061141301649732,0.24361685514450074,100.0,97.2568578553616,0,103,0.0,True
18,2025-09-26T11:33:45.608587,20.0,3,True,1.7690749168395996,1.0,0.08508176254661731,0.08606707792665642,0,0,0.10361035692281992,1.0003159616382875,6991.464955161281,17.522468559301455,429.2262210868981,0.31646463438776223,0.00397126897049476,0.8071960413112902,0.08845374584197999,100.0,100.0,0,0,0.08508176254661731,False
19,2025-09-26T11:34:27.843235,20.0,2,True,2.6195201873779297,1.0,0.05963448650055361,0.06780301014842974,0,0,0.2096342456798347,1.0059886163987894,949921.9035754317,2380.756650564992,45570.70332075551,0.93334612645997,0.013749760359787358,0.9844760564788922,0.13097600936889647,100.0,93.26683291770573,0,0,0.05963448650055361,False
20,2025-09-26T11:35:29.087544,20.0,4,True,1.3118352890014648,1.0,0.19526562839311404,0.1952734518288746,0,0,0.065062182992332,1.0000868764168698,22292.748618607504,55.8715504225752,2352.673642204925,0.21971385894857173,0.0024606342817188884,0.8264405903671993,0.06559176445007324,100.0,0.0,0,0,0.19526562839311404,False
21,2025-09-26T11:36:10.106190,20.0,6,True,1.9120652675628662,1.0,0.05728826404617826,0.06750970455776921,0,0,0.12151396896841765,1.0042974940933929,18949.600387376086,47.492732800441324,1773.0957534557947,0.4011158335205089,0.007393623320532609,0.7760345872751969,0.09560326337814332,100.0,100.0,0,0,0.05728826404617826,False
22,2025-09-26T11:36:51.188181,20.0,5,True,2.0578503608703613,1.0,0.026097209187472364,0.0752092940032664,25,0,0.22486253164385797,1.0531696872622816,20294.31151656662,50.862936131745926,1060.0745472333401,1.1105264025457418,0.030073829364790822,0.7946008070575925,0.10289251804351807,100.0,100.0,0,0,0.026097209187472364,False
23,2025-09-26T11:37:32.358087,20.0,4,True,1.6076390743255615,1.0,0.06322061487607755,0.08182039919042536,0,0,0.09558320943162978,1.0003085721415217,38253.3506314038,95.87305922657598,4239.796267863507,0.3405909829436277,0.0034445103675876483,0.6188842463994858,0.08038195371627807,100.0,100.0,0,0,0.06322061487607755,False
24,2025-09-26T11:38:14.419137,20.0,3,True,14.887897968292236,1.0,0.00011764193366940541,0.04384300588935518,261,81,4.796795657579311,9.768823783163352,35057.68215491507,87.86386504991248,1929.7995047004513,1.1829736906103654,0.22176463696455379,0.8518492585502575,0.7443948984146118,100.0,99.75062344139651,0,48,0.00011764193366940541,True
25,2025-09-26T11:39:19.088574,20.0,4,False,,1.0,0.03588148722232809,0.0640745811180981,14,0,0.9893524722347944,10.367785340140912,32883.510128326016,82.41481235169425,11172.191095238986,0.7307023645277978,0.03011790938755817,0.7635253823415507,,100.0,99.00249376558602,0,0,0.03588148722232809,False
26,2025-09-26T11:40:02.035127,20.0,4,True,3.12727427482605,1.0,0.048455493848427136,0.05114229038877525,30,0,0.04963748675118584,1.1026108132328023,544277.4479129926,1364.103879481184,59039.86959948947,0.24975986195476882,0.007341637555333956,0.4544496839313357,0.15636371374130248,100.0,100.0,0,0,0.048455493848427136,False
27,2025-09-26T11:40:45.094131,20.0,4,False,,1.0,0.0004017203313876513,0.04526538778810307,245,22,4.720982654257222,26.787290284418113,24356.043571847193,61.04271571891529,1531.0690763488037,5.260000005999448,0.1647701454527758,0.6932242847412321,,100.0,99.50124688279301,0,11,0.0004017203313876513,True
28,2025-09-26T11:41:28.139007,20.0,6,True,1.6073224544525146,1.0,0.08172877885747307,0.08610176862630142,0,0,0.08031553583765064,1.0011905773002094,65643.99126307099,164.52128136108016,5189.461273897384,0.2981239510490029,0.0033187808714137453,0.5779570006442704,0.08036612272262574,100.0,97.0074812967581,0,0,0.08172877885747307,False
29,2025-09-26T11:42:10.486154,20.0,2,True,1.968801736831665,1.0,0.2989925560234513,0.2990516204176843,0,0,0.1198233620884381,1.0000960343032363,5013.06986649028,12.564084878421758,201.97233876050035,0.3467803481463116,0.004908903586551421,0.7812490737725724,0.09844008684158326,100.0,0.0,0,0,0.2989925560234513,False
30,2025-09-26T11:42:51.092014,20.0,2,True,2.0103492736816406,1.0,0.07636147666276266,0.07831353858945973,0,0,0.10921409236799834,1.0016896727677223,315777.8291457939,791.4231306912128,17427.134452479626,0.33460844773387094,0.007438368153927867,0.7580828122041895,0.10051746368408203,100.0,98.25436408977556,0,0,0.07636147666276266,False
31,2025-09-26T11:43:32.995101,20.0,2,True,1.8827934265136719,1.0,0.11720258328363359,0.13417140557757742,0,0,0.11534088554880277,1.0002931545675982,91.53291532520312,0.22940580282005762,5.793788059220869,0.29186569538873547,0.005064602536923232,0.8199147284645999,0.0941396713256836,100.0,0.0,0,0,0.11720258328363359,False
32,2025-09-26T11:44:16.190596,20.0,3,True,1.8480863571166992,1.0,0.1163337296677003,0.11754053416546567,0,0,0.10572857275901311,1.0001690551041313,31500.35272385318,78.94825244073476,8153.742647888931,0.2829596277790526,0.004972507883085491,0.8853042271372337,0.09240431785583496,100.0,0.0,0,0,0.1163337296677003,False
33,2025-09-26T11:44:58.036125,20.0,4,True,1.8857417106628418,1.0,0.07297220818127423,0.099219906601595,0,0,0.10586473602233906,1.002347698121307,236281.21078624882,592.1834856798215,20091.63536253883,0.3267576033274576,0.006874049146744685,0.8011990522683906,0.09428708553314209,100.0,30.673316708229425,0,0,0.07297220818127423,False
34,2025-09-26T11:45:39.884012,20.0,3,False,,1.0,0.01896599758100408,0.048822626931679304,216,1,3.915641965930205,13.86862037307418,26990.23093780118,67.64468906717087,957.3860812005557,1.132789711828978,0.13645850618061786,0.8109628010497362,,100.0,98.25436408977556,0,0,0.01896599758100408,False
35,2025-09-26T11:46:21.634220,20.0,3,True,3.6484298706054688,1.0,0.024446058051290246,0.03709446164721131,401,0,0.2567432134458282,1.0590745479959844,6930190.499111116,17368.89849401283,1230559.7465141232,1.163844335762613,0.03882011736226411,0.8729654544297977,0.18242149353027343,100.0,100.0,0,0,0.024446058051290246,False
