simulation_id,timestamp,execution_time,num_obstacles,goal_reached,goal_reach_time,position_check_success_rate,min_distance_achieved,avg_distance,close_calls_5cm,safety_violations_2cm,total_distance_traveled,path_efficiency_ratio,total_curvature,trajectory_smoothness,max_curvature,overall_max_velocity,overall_avg_velocity,target_distance_from_base,execution_efficiency,danger_zone_percentage,warning_zone_percentage,safety_score,collision_count,absolute_min_distance,had_collision
8,2025-09-26T11:26:29.284846,20.0,3,False,,1.0,0.06149126076154104,0.0636406394555176,0,0,0.030506634717152852,2.0411672757333545,980093.7295418889,2456.3752620097475,937102.4757512946,0.4993989817411888,0.010248635564977859,0.48216247357587927,,100.0,100.0,0,0,0.06149126076154104,False
9,2025-09-26T11:27:28.252763,20.0,5,False,,1.0,0.0013866273620935438,0.03487586025128834,356,35,3.996762438979021,47.058457945626735,46744.368974234705,117.15380695296926,3819.8265316690236,2.899667876073273,0.32068053988178813,0.9849093709914652,,100.0,100.0,0,8,0.0013866273620935438,True
25,2025-09-26T11:39:19.088574,20.0,4,False,,1.0,0.03588148722232809,0.0640745811180981,14,0,0.9893524722347944,10.367785340140912,32883.510128326016,82.41481235169425,11172.191095238986,0.7307023645277978,0.03011790938755817,0.7635253823415507,,100.0,99.00249376558602,0,0,0.03588148722232809,False
27,2025-09-26T11:40:45.094131,20.0,4,False,,1.0,0.0004017203313876513,0.04526538778810307,245,22,4.720982654257222,26.787290284418113,24356.043571847193,61.04271571891529,1531.0690763488037,5.260000005999448,0.1647701454527758,0.6932242847412321,,100.0,99.50124688279301,0,11,0.0004017203313876513,True
34,2025-09-26T11:45:39.884012,20.0,3,False,,1.0,0.01896599758100408,0.048822626931679304,216,1,3.915641965930205,13.86862037307418,26990.23093780118,67.64468906717087,957.3860812005557,1.132789711828978,0.13645850618061786,0.8109628010497362,,100.0,98.25436408977556,0,0,0.01896599758100408,False
38,2025-09-26T11:48:28.350511,20.0,5,False,,1.0,0.057673101645920065,0.05845740367663317,0,0,0.11606993248674422,1.3919157620026366,415673.5145266102,1041.7882569589226,53604.82488449182,0.508446547959344,0.00680716772635068,0.7685234820618001,,100.0,100.0,0,0,0.057673101645920065,False
41,2025-09-26T11:50:36.222338,20.0,2,False,,1.0,0.13085974676962428,0.1308597468232172,0,0,1.0999574126937291e-08,1.0000000000174383,0.0,0.0,0.0,6.0962142001130815e-09,1.63928734850746e-09,0.7755151640159503,,100.0,0.0,0,0,0.13085974676962428,False
45,2025-09-26T11:53:29.280091,20.0,2,False,,1.0,0.030547358676398184,0.03563592463666497,376,0,0.20625166029567213,1.7028761173434883,759024.0542351301,1902.3159254013285,584700.9883578249,0.6803592544645406,0.01957955844671437,1.0907919728787971,,100.0,100.0,0,0,0.030547358676398184,False
46,2025-09-26T11:54:11.632385,20.0,6,False,,1.0,0.04813747068809138,0.061622066136659354,3,0,0.27128575243822056,3.535672562590573,28955.97038316789,72.57135434377916,11956.651324303135,0.8578299292931436,0.011771747159213529,0.7546761384317747,,100.0,100.0,0,0,0.04813747068809138,False
47,2025-09-26T11:54:53.916147,20.0,2,False,,1.0,0.005800287490319499,0.04604383624094203,387,8,0.8004674015568347,1.8940728388770889,267283.46816689335,669.8833788643942,18139.277085153615,1.2291501021904552,0.05086236622212788,1.0470554731686672,,100.0,100.0,0,2,0.005800287490319499,True
53,2025-09-26T11:59:10.172177,20.0,5,False,,1.0,0.009700012646298554,0.04995063123662053,201,32,6.096315839209135,13.44951160939286,13886.224271595864,34.802567096731494,453.9561423795275,1.172220009297447,0.2085232093213569,0.8392834476780621,,100.0,100.0,0,2,0.009700012646298554,True
57,2025-09-26T12:02:07.227411,20.0,3,False,,1.0,0.1575982561173133,0.15759838811740176,0,0,2.2208866688815392e-05,1.0000000002691913,0.0,0.0,0.0,5.807090141300708e-06,1.0049926177885645e-06,0.8914151091778315,,100.0,0.0,0,0,0.1575982561173133,False
61,2025-09-26T12:05:03.183073,20.0,5,False,,1.0,0.04417681433144226,0.061401334940397116,3,0,0.28685189355101975,1.910946023340248,103527.76421171508,259.46808073111544,69994.65038226162,1.0497411705383681,0.014039986259293587,1.0044989108159461,,100.0,100.0,0,0,0.04417681433144226,False
64,2025-09-26T12:07:14.814138,20.0,6,False,,1.0,0.07056876008605124,0.07176076489550871,0,0,0.046880177269644344,2.1208119115453603,91931.63561369298,230.40510178870423,7678.552498694735,0.36770780916877766,0.0027037282602298623,0.7265531121944302,,100.0,100.0,0,0,0.07056876008605124,False
71,2025-09-26T12:12:18.637994,20.0,5,False,,1.0,0.044740526796415166,0.053302636910333025,9,0,0.13221772652727756,3.2290354739058875,217246.40239234036,544.4771989782967,197533.2941741512,0.7547562683182013,0.004192477650494363,0.8375715988648825,,100.0,100.0,0,0,0.044740526796415166,False
73,2025-09-26T12:13:46.702832,20.0,4,False,,1.0,0.05123340304176305,0.0533341033393539,0,0,0.17716863762201193,1.059096278494781,2495372.786312247,6254.067133614654,170038.00171038092,0.6867319254349753,0.021459562071981953,1.1242211574555425,,100.0,100.0,0,0,0.05123340304176305,False
74,2025-09-26T12:14:32.818331,20.0,3,False,,1.0,0.02177597884312958,0.023299667118316308,401,0,0.17151861211339595,1.1214705784062415,2055961.5148929427,5152.7857516113845,132363.71460761965,1.0715291159276252,0.01959262812798543,0.8915204794869863,,100.0,100.0,0,0,0.02177597884312958,False
90,2025-09-26T12:26:24.264292,20.0,5,False,,1.0,0.04225482121297483,0.04551954577168772,359,0,0.1536887516220792,1.013781511187215,481017.2824273675,1205.557098815457,33721.5351154753,0.5922010980054889,0.017196101620635094,1.073487822865253,,100.0,100.0,0,0,0.04225482121297483,False
